Campo,Objeto,Filtro
j02-20170409T224828-01_prepro.fz,Feige66,J0378
j02-20170409T224906-01_prepro.fz,Feige66,J0395
j02-20170409T224944-01_prepro.fz,Feige66,J0410
j02-20170409T225033-01_prepro.fz,Feige66,J0430
j02-20170409T225115-01_prepro.fz,Feige66,J0515
j02-20170409T225153-01_prepro.fz,Feige66,J0660
j02-20170409T225238-01_prepro.fz,Feige66,J0861
j02-20170409T225332-01_prepro.fz,G180-24,iSDSS
j02-20170409T225418-01_prepro.fz,G180-24,uJAVA
j02-20170409T225527-01_prepro.fz,G180-24,J0430
j02-20170409T225623-01_prepro.fz,G180-24,J0861
j02-20170409T225706-01_prepro.fz,G180-24,J0515
j02-20170409T225747-01_prepro.fz,G180-24,J0410
j02-20170409T225844-01_prepro.fz,G180-24,rSDSS
j02-20170409T225929-01_prepro.fz,G180-24,J0378
j02-20170409T230106-01_prepro.fz,G180-24,J0660
j02-20170409T230154-01_prepro.fz,G180-24,gSDSS
j02-20170409T230239-01_prepro.fz,G180-24,J0395
j02-20170409T230357-01_prepro.fz,G180-24,zSDSS
j02-20170409T230516-01_prepro.fz,Feige34,iSDSS
j02-20170409T230605-01_prepro.fz,Feige34,uJAVA
j02-20170409T230647-01_prepro.fz,Feige34,J0430
j02-20170409T230740-01_prepro.fz,Feige34,J0861
j02-20170409T230839-01_prepro.fz,Feige34,J0515
j02-20170409T230923-01_prepro.fz,Feige34,J0410
j02-20170409T231018-01_prepro.fz,Feige34,rSDSS
j02-20170409T231104-01_prepro.fz,Feige34,J0378
j02-20170409T231209-01_prepro.fz,Feige34,J0660
j02-20170409T231321-01_prepro.fz,Feige34,gSDSS
j02-20170409T231405-01_prepro.fz,Feige34,J0395
j02-20170409T231514-01_prepro.fz,Feige34,zSDSS
j02-20170410T005732-01_prepro.fz,HD080607,rSDSS
j02-20170410T005824-01_prepro.fz,HD080607,uJAVA
j02-20170410T005853-01_prepro.fz,HD080607,uJAVA
j02-20170410T005925-01_prepro.fz,HD080607,uJAVA
j02-20170410T010008-01_prepro.fz,HD080607,J0378
j02-20170410T010036-01_prepro.fz,HD080607,J0378
j02-20170410T010108-01_prepro.fz,HD080607,J0378
j02-20170410T010151-01_prepro.fz,HD080607,J0395
j02-20170410T010220-01_prepro.fz,HD080607,J0395
j02-20170410T010249-01_prepro.fz,HD080607,J0395
j02-20170410T010332-01_prepro.fz,HD080607,J0410
j02-20170410T010400-01_prepro.fz,HD080607,J0410
j02-20170410T010429-01_prepro.fz,HD080607,J0410
j02-20170410T010522-01_prepro.fz,HD080607,J0430
j02-20170410T010551-01_prepro.fz,HD080607,J0430
j02-20170410T010620-01_prepro.fz,HD080607,J0430
j02-20170410T010703-01_prepro.fz,HD080607,gSDSS
j02-20170410T010732-01_prepro.fz,HD080607,gSDSS
j02-20170410T010802-01_prepro.fz,HD080607,gSDSS
j02-20170410T010851-01_prepro.fz,HD080607,J0515
j02-20170410T010919-01_prepro.fz,HD080607,J0515
j02-20170410T010949-01_prepro.fz,HD080607,J0515
j02-20170410T011043-01_prepro.fz,HD080607,rSDSS
j02-20170410T011112-01_prepro.fz,HD080607,rSDSS
j02-20170410T011141-01_prepro.fz,HD080607,rSDSS
j02-20170410T011236-01_prepro.fz,HD080607,J0660
j02-20170410T011304-01_prepro.fz,HD080607,J0660
j02-20170410T011335-01_prepro.fz,HD080607,J0660
j02-20170410T011429-01_prepro.fz,HD080607,iSDSS
j02-20170410T011458-01_prepro.fz,HD080607,iSDSS
j02-20170410T011528-01_prepro.fz,HD080607,iSDSS
j02-20170410T011612-01_prepro.fz,HD080607,J0861
j02-20170410T011642-01_prepro.fz,HD080607,J0861
j02-20170410T011712-01_prepro.fz,HD080607,J0861
j02-20170410T011755-01_prepro.fz,HD080607,zSDSS
j02-20170410T011824-01_prepro.fz,HD080607,zSDSS
j02-20170410T011854-01_prepro.fz,HD080607,zSDSS
j02-20170410T013304-01_prepro.fz,HD095735,rSDSS
j02-20170410T013357-01_prepro.fz,HD095735,uJAVA
j02-20170410T013426-01_prepro.fz,HD095735,uJAVA
j02-20170410T013455-01_prepro.fz,HD095735,uJAVA
j02-20170410T013538-01_prepro.fz,HD095735,J0378
j02-20170410T013607-01_prepro.fz,HD095735,J0378
j02-20170410T013637-01_prepro.fz,HD095735,J0378
j02-20170410T013720-01_prepro.fz,HD095735,J0395
j02-20170410T013749-01_prepro.fz,HD095735,J0395
j02-20170410T013818-01_prepro.fz,HD095735,J0395
j02-20170410T013900-01_prepro.fz,HD095735,J0410
j02-20170410T013929-01_prepro.fz,HD095735,J0410
j02-20170410T013958-01_prepro.fz,HD095735,J0410
j02-20170410T014051-01_prepro.fz,HD095735,J0430
j02-20170410T014119-01_prepro.fz,HD095735,J0430
j02-20170410T014149-01_prepro.fz,HD095735,J0430
j02-20170410T014232-01_prepro.fz,HD095735,gSDSS
j02-20170410T014300-01_prepro.fz,HD095735,gSDSS
j02-20170410T014330-01_prepro.fz,HD095735,gSDSS
j02-20170410T014419-01_prepro.fz,HD095735,J0515
j02-20170410T014448-01_prepro.fz,HD095735,J0515
j02-20170410T014517-01_prepro.fz,HD095735,J0515
j02-20170410T014611-01_prepro.fz,HD095735,rSDSS
j02-20170410T014640-01_prepro.fz,HD095735,rSDSS
j02-20170410T014709-01_prepro.fz,HD095735,rSDSS
j02-20170410T014804-01_prepro.fz,HD095735,J0660
j02-20170410T014832-01_prepro.fz,HD095735,J0660
j02-20170410T014902-01_prepro.fz,HD095735,J0660
j02-20170410T014957-01_prepro.fz,HD095735,iSDSS
j02-20170410T015026-01_prepro.fz,HD095735,iSDSS
j02-20170410T015056-01_prepro.fz,HD095735,iSDSS
j02-20170410T015140-01_prepro.fz,HD095735,J0861
j02-20170410T015208-01_prepro.fz,HD095735,J0861
j02-20170410T015238-01_prepro.fz,HD095735,J0861
j02-20170410T015322-01_prepro.fz,HD095735,zSDSS
j02-20170410T015352-01_prepro.fz,HD095735,zSDSS
j02-20170410T015424-01_prepro.fz,HD095735,zSDSS
j02-20170410T023227-01_prepro.fz,HD095735off,rSDSS
j02-20170410T023320-01_prepro.fz,HD095735off,uJAVA
j02-20170410T023349-01_prepro.fz,HD095735off,uJAVA
j02-20170410T023419-01_prepro.fz,HD095735off,uJAVA
j02-20170410T023502-01_prepro.fz,HD095735off,J0378
j02-20170410T023531-01_prepro.fz,HD095735off,J0378
j02-20170410T023601-01_prepro.fz,HD095735off,J0378
j02-20170410T023644-01_prepro.fz,HD095735off,J0395
j02-20170410T023712-01_prepro.fz,HD095735off,J0395
j02-20170410T023742-01_prepro.fz,HD095735off,J0395
j02-20170410T023824-01_prepro.fz,HD095735off,J0410
j02-20170410T023853-01_prepro.fz,HD095735off,J0410
j02-20170410T023922-01_prepro.fz,HD095735off,J0410
j02-20170410T024015-01_prepro.fz,HD095735off,J0430
j02-20170410T024043-01_prepro.fz,HD095735off,J0430
j02-20170410T024113-01_prepro.fz,HD095735off,J0430
j02-20170410T024156-01_prepro.fz,HD095735off,gSDSS
j02-20170410T024225-01_prepro.fz,HD095735off,gSDSS
j02-20170410T024254-01_prepro.fz,HD095735off,gSDSS
j02-20170410T024343-01_prepro.fz,HD095735off,J0515
j02-20170410T024413-01_prepro.fz,HD095735off,J0515
j02-20170410T024444-01_prepro.fz,HD095735off,J0515
j02-20170410T024538-01_prepro.fz,HD095735off,rSDSS
j02-20170410T024607-01_prepro.fz,HD095735off,rSDSS
j02-20170410T024636-01_prepro.fz,HD095735off,rSDSS
j02-20170410T024731-01_prepro.fz,HD095735off,J0660
j02-20170410T024800-01_prepro.fz,HD095735off,J0660
j02-20170410T024830-01_prepro.fz,HD095735off,J0660
j02-20170410T024924-01_prepro.fz,HD095735off,iSDSS
j02-20170410T024953-01_prepro.fz,HD095735off,iSDSS
j02-20170410T025023-01_prepro.fz,HD095735off,iSDSS
j02-20170410T025108-01_prepro.fz,HD095735off,J0861
j02-20170410T025137-01_prepro.fz,HD095735off,J0861
j02-20170410T025209-01_prepro.fz,HD095735off,J0861
j02-20170410T025253-01_prepro.fz,HD095735off,zSDSS
j02-20170410T025322-01_prepro.fz,HD095735off,zSDSS
j02-20170410T025351-01_prepro.fz,HD095735off,zSDSS
j02-20170410T042511-01_prepro.fz,Feige66,J0378
j02-20170410T042551-01_prepro.fz,Feige66,J0395
j02-20170410T042629-01_prepro.fz,Feige66,J0410
j02-20170410T042718-01_prepro.fz,Feige66,J0430
j02-20170410T042801-01_prepro.fz,Feige66,J0515
j02-20170410T042839-01_prepro.fz,Feige66,J0660
j02-20170410T042924-01_prepro.fz,Feige66,J0861
j02-20170410T203545-01_prepro.fz,HD080607,rSDSS
j02-20170410T203638-01_prepro.fz,HD080607,uJAVA
j02-20170410T203707-01_prepro.fz,HD080607,uJAVA
j02-20170410T203738-01_prepro.fz,HD080607,uJAVA
j02-20170410T203821-01_prepro.fz,HD080607,J0378
j02-20170410T203851-01_prepro.fz,HD080607,J0378
j02-20170410T203921-01_prepro.fz,HD080607,J0378
j02-20170410T204004-01_prepro.fz,HD080607,J0395
j02-20170410T204033-01_prepro.fz,HD080607,J0395
j02-20170410T204103-01_prepro.fz,HD080607,J0395
j02-20170410T204145-01_prepro.fz,HD080607,J0410
j02-20170410T204213-01_prepro.fz,HD080607,J0410
j02-20170410T204344-01_prepro.fz,HD080607,J0430
j02-20170410T204412-01_prepro.fz,HD080607,J0430
j02-20170410T204441-01_prepro.fz,HD080607,J0430
j02-20170410T204525-01_prepro.fz,HD080607,gSDSS
j02-20170410T204553-01_prepro.fz,HD080607,gSDSS
j02-20170410T204623-01_prepro.fz,HD080607,gSDSS
j02-20170410T204712-01_prepro.fz,HD080607,J0515
j02-20170410T204742-01_prepro.fz,HD080607,J0515
j02-20170410T204813-01_prepro.fz,HD080607,J0515
j02-20170410T204908-01_prepro.fz,HD080607,rSDSS
j02-20170410T204937-01_prepro.fz,HD080607,rSDSS
j02-20170410T205007-01_prepro.fz,HD080607,rSDSS
j02-20170410T205101-01_prepro.fz,HD080607,J0660
j02-20170410T205131-01_prepro.fz,HD080607,J0660
j02-20170410T205201-01_prepro.fz,HD080607,J0660
j02-20170410T205256-01_prepro.fz,HD080607,iSDSS
j02-20170410T205325-01_prepro.fz,HD080607,iSDSS
j02-20170410T205356-01_prepro.fz,HD080607,iSDSS
j02-20170410T205440-01_prepro.fz,HD080607,J0861
j02-20170410T205509-01_prepro.fz,HD080607,J0861
j02-20170410T205540-01_prepro.fz,HD080607,J0861
j02-20170410T205625-01_prepro.fz,HD080607,zSDSS
j02-20170410T205653-01_prepro.fz,HD080607,zSDSS
j02-20170410T205724-01_prepro.fz,HD080607,zSDSS
j02-20170410T205819-01_prepro.fz,Feige66,J0378
j02-20170410T205858-01_prepro.fz,Feige66,J0395
j02-20170410T205936-01_prepro.fz,Feige66,J0410
j02-20170410T210024-01_prepro.fz,Feige66,J0430
j02-20170410T210107-01_prepro.fz,Feige66,J0515
j02-20170410T210146-01_prepro.fz,Feige66,J0660
j02-20170410T210231-01_prepro.fz,Feige66,J0861
j02-20170410T210312-01_prepro.fz,Feige34,iSDSS
j02-20170410T210359-01_prepro.fz,Feige34,uJAVA
j02-20170410T210441-01_prepro.fz,Feige34,J0430
j02-20170410T210534-01_prepro.fz,Feige34,J0861
j02-20170410T210636-01_prepro.fz,Feige34,J0515
j02-20170410T210719-01_prepro.fz,Feige34,J0410
j02-20170410T210814-01_prepro.fz,Feige34,rSDSS
j02-20170410T210901-01_prepro.fz,Feige34,J0378
j02-20170410T211007-01_prepro.fz,Feige34,J0660
j02-20170410T211120-01_prepro.fz,Feige34,gSDSS
j02-20170410T211205-01_prepro.fz,Feige34,J0395
j02-20170410T211314-01_prepro.fz,Feige34,zSDSS
j02-20170410T211748-01_prepro.fz,HD095735,rSDSS
j02-20170410T211841-01_prepro.fz,HD095735,uJAVA
j02-20170410T211913-01_prepro.fz,HD095735,uJAVA
j02-20170410T211943-01_prepro.fz,HD095735,uJAVA
j02-20170410T212026-01_prepro.fz,HD095735,J0378
j02-20170410T212057-01_prepro.fz,HD095735,J0378
j02-20170410T212127-01_prepro.fz,HD095735,J0378
j02-20170410T212210-01_prepro.fz,HD095735,J0395
j02-20170410T212239-01_prepro.fz,HD095735,J0395
j02-20170410T212308-01_prepro.fz,HD095735,J0395
j02-20170410T212350-01_prepro.fz,HD095735,J0410
j02-20170410T212440-01_prepro.fz,HD095735,J0410
j02-20170410T212509-01_prepro.fz,HD095735,J0410
j02-20170410T212602-01_prepro.fz,HD095735,J0430
j02-20170410T212632-01_prepro.fz,HD095735,J0430
j02-20170410T212701-01_prepro.fz,HD095735,J0430
j02-20170410T212745-01_prepro.fz,HD095735,gSDSS
j02-20170410T212816-01_prepro.fz,HD095735,gSDSS
j02-20170410T212846-01_prepro.fz,HD095735,gSDSS
j02-20170410T212935-01_prepro.fz,HD095735,J0515
j02-20170410T213004-01_prepro.fz,HD095735,J0515
j02-20170410T213037-01_prepro.fz,HD095735,J0515
j02-20170410T213132-01_prepro.fz,HD095735,rSDSS
j02-20170410T213203-01_prepro.fz,HD095735,rSDSS
j02-20170410T213234-01_prepro.fz,HD095735,rSDSS
j02-20170410T213329-01_prepro.fz,HD095735,J0660
j02-20170410T213359-01_prepro.fz,HD095735,J0660
j02-20170410T213432-01_prepro.fz,HD095735,J0660
j02-20170410T213526-01_prepro.fz,HD095735,iSDSS
j02-20170410T213556-01_prepro.fz,HD095735,iSDSS
j02-20170410T213626-01_prepro.fz,HD095735,iSDSS
j02-20170410T213711-01_prepro.fz,HD095735,J0861
j02-20170410T213739-01_prepro.fz,HD095735,J0861
j02-20170410T213812-01_prepro.fz,HD095735,J0861
j02-20170410T213856-01_prepro.fz,HD095735,zSDSS
j02-20170410T213925-01_prepro.fz,HD095735,zSDSS
j02-20170410T213956-01_prepro.fz,HD095735,zSDSS
j02-20170410T214637-01_prepro.fz,G180-24,rSDSS
j02-20170410T214719-01_prepro.fz,G180-24,iSDSS
j02-20170410T214806-01_prepro.fz,G180-24,uJAVA
j02-20170410T214915-01_prepro.fz,G180-24,J0430
j02-20170410T215011-01_prepro.fz,G180-24,J0861
j02-20170410T215056-01_prepro.fz,G180-24,J0515
j02-20170410T215137-01_prepro.fz,G180-24,J0410
j02-20170410T215234-01_prepro.fz,G180-24,rSDSS
j02-20170410T215320-01_prepro.fz,G180-24,J0378
j02-20170410T215457-01_prepro.fz,G180-24,J0660
j02-20170410T215545-01_prepro.fz,G180-24,gSDSS
j02-20170410T215630-01_prepro.fz,G180-24,J0395
j02-20170410T215748-01_prepro.fz,G180-24,zSDSS
j02-20170410T220304-01_prepro.fz,HD095735off,rSDSS
j02-20170410T220357-01_prepro.fz,HD095735off,uJAVA
j02-20170410T220425-01_prepro.fz,HD095735off,uJAVA
j02-20170410T220501-01_prepro.fz,HD095735off,uJAVA
j02-20170410T220544-01_prepro.fz,HD095735off,J0378
j02-20170410T220614-01_prepro.fz,HD095735off,J0378
j02-20170410T220645-01_prepro.fz,HD095735off,J0378
j02-20170410T220728-01_prepro.fz,HD095735off,J0395
j02-20170410T220759-01_prepro.fz,HD095735off,J0395
j02-20170410T220828-01_prepro.fz,HD095735off,J0395
j02-20170410T220911-01_prepro.fz,HD095735off,J0410
j02-20170410T220941-01_prepro.fz,HD095735off,J0410
j02-20170410T221011-01_prepro.fz,HD095735off,J0410
j02-20170410T221104-01_prepro.fz,HD095735off,J0430
j02-20170410T221134-01_prepro.fz,HD095735off,J0430
j02-20170410T221207-01_prepro.fz,HD095735off,J0430
j02-20170410T221250-01_prepro.fz,HD095735off,gSDSS
j02-20170410T221319-01_prepro.fz,HD095735off,gSDSS
j02-20170410T221348-01_prepro.fz,HD095735off,gSDSS
j02-20170410T221438-01_prepro.fz,HD095735off,J0515
j02-20170410T221508-01_prepro.fz,HD095735off,J0515
j02-20170410T221540-01_prepro.fz,HD095735off,J0515
j02-20170410T221635-01_prepro.fz,HD095735off,rSDSS
j02-20170410T221705-01_prepro.fz,HD095735off,rSDSS
j02-20170410T221738-01_prepro.fz,HD095735off,rSDSS
j02-20170410T221833-01_prepro.fz,HD095735off,J0660
j02-20170410T221902-01_prepro.fz,HD095735off,J0660
j02-20170410T221932-01_prepro.fz,HD095735off,J0660
j02-20170410T222027-01_prepro.fz,HD095735off,iSDSS
j02-20170410T222055-01_prepro.fz,HD095735off,iSDSS
j02-20170410T222129-01_prepro.fz,HD095735off,iSDSS
j02-20170410T222213-01_prepro.fz,HD095735off,J0861
j02-20170410T222242-01_prepro.fz,HD095735off,J0861
j02-20170410T222311-01_prepro.fz,HD095735off,J0861
j02-20170410T222355-01_prepro.fz,HD095735off,zSDSS
j02-20170410T222424-01_prepro.fz,HD095735off,zSDSS
j02-20170410T222454-01_prepro.fz,HD095735off,zSDSS
j02-20170410T222558-01_prepro.fz,G180-24,iSDSS
j02-20170410T222644-01_prepro.fz,G180-24,uJAVA
j02-20170410T222753-01_prepro.fz,G180-24,J0430
j02-20170410T222849-01_prepro.fz,G180-24,J0861
j02-20170410T222932-01_prepro.fz,G180-24,J0515
j02-20170410T223013-01_prepro.fz,G180-24,J0410
j02-20170410T223111-01_prepro.fz,G180-24,rSDSS
j02-20170410T223156-01_prepro.fz,G180-24,J0378
j02-20170410T223333-01_prepro.fz,G180-24,J0660
j02-20170410T223423-01_prepro.fz,G180-24,gSDSS
j02-20170410T223507-01_prepro.fz,G180-24,J0395
j02-20170410T223626-01_prepro.fz,G180-24,zSDSS
j02-20170410T223732-01_prepro.fz,Feige34,iSDSS
j02-20170410T223819-01_prepro.fz,Feige34,uJAVA
j02-20170410T223901-01_prepro.fz,Feige34,J0430
j02-20170410T223954-01_prepro.fz,Feige34,J0861
j02-20170410T224054-01_prepro.fz,Feige34,J0515
j02-20170410T224137-01_prepro.fz,Feige34,J0410
j02-20170410T224232-01_prepro.fz,Feige34,rSDSS
j02-20170410T224319-01_prepro.fz,Feige34,J0378
j02-20170410T224425-01_prepro.fz,Feige34,J0660
j02-20170410T224537-01_prepro.fz,Feige34,gSDSS
j02-20170410T224622-01_prepro.fz,Feige34,J0395
j02-20170410T224730-01_prepro.fz,Feige34,zSDSS
j02-20170410T225235-01_prepro.fz,G180-24,rSDSS
j02-20170410T225432-01_prepro.fz,G180-24,iSDSS
j02-20170410T225519-01_prepro.fz,G180-24,uJAVA
j02-20170410T225628-01_prepro.fz,G180-24,J0430
j02-20170410T225724-01_prepro.fz,G180-24,J0861
j02-20170410T225807-01_prepro.fz,G180-24,J0515
j02-20170410T225848-01_prepro.fz,G180-24,J0410
j02-20170410T225945-01_prepro.fz,G180-24,rSDSS
j02-20170410T230031-01_prepro.fz,G180-24,J0378
j02-20170410T230208-01_prepro.fz,G180-24,J0660
j02-20170410T230256-01_prepro.fz,G180-24,gSDSS
j02-20170410T230341-01_prepro.fz,G180-24,J0395
j02-20170410T230500-01_prepro.fz,G180-24,zSDSS
j02-20170410T233100-01_prepro.fz,G180-24,iSDSS
j02-20170410T233147-01_prepro.fz,G180-24,uJAVA
j02-20170410T233256-01_prepro.fz,G180-24,J0430
j02-20170410T233352-01_prepro.fz,G180-24,J0861
j02-20170410T233435-01_prepro.fz,G180-24,J0515
j02-20170410T233516-01_prepro.fz,G180-24,J0410
j02-20170410T233613-01_prepro.fz,G180-24,rSDSS
j02-20170410T233659-01_prepro.fz,G180-24,J0378
j02-20170410T233836-01_prepro.fz,G180-24,J0660
j02-20170410T233925-01_prepro.fz,G180-24,gSDSS
j02-20170410T234009-01_prepro.fz,G180-24,J0395
j02-20170410T234128-01_prepro.fz,G180-24,zSDSS
j02-20170411T005005-01_prepro.fz,HD080607,rSDSS
j02-20170411T005058-01_prepro.fz,HD080607,uJAVA
j02-20170411T005127-01_prepro.fz,HD080607,uJAVA
j02-20170411T005158-01_prepro.fz,HD080607,uJAVA
j02-20170411T005241-01_prepro.fz,HD080607,J0378
j02-20170411T005310-01_prepro.fz,HD080607,J0378
j02-20170411T005342-01_prepro.fz,HD080607,J0378
j02-20170411T005425-01_prepro.fz,HD080607,J0395
j02-20170411T005454-01_prepro.fz,HD080607,J0395
j02-20170411T005523-01_prepro.fz,HD080607,J0395
j02-20170411T005606-01_prepro.fz,HD080607,J0410
j02-20170411T005634-01_prepro.fz,HD080607,J0410
j02-20170411T005704-01_prepro.fz,HD080607,J0410
j02-20170411T005757-01_prepro.fz,HD080607,J0430
j02-20170411T005825-01_prepro.fz,HD080607,J0430
j02-20170411T005855-01_prepro.fz,HD080607,J0430
j02-20170411T005938-01_prepro.fz,HD080607,gSDSS
j02-20170411T010007-01_prepro.fz,HD080607,gSDSS
j02-20170411T010036-01_prepro.fz,HD080607,gSDSS
j02-20170411T010126-01_prepro.fz,HD080607,J0515
j02-20170411T010154-01_prepro.fz,HD080607,J0515
j02-20170411T010224-01_prepro.fz,HD080607,J0515
j02-20170411T010319-01_prepro.fz,HD080607,rSDSS
j02-20170411T010347-01_prepro.fz,HD080607,rSDSS
j02-20170411T010417-01_prepro.fz,HD080607,rSDSS
j02-20170411T010512-01_prepro.fz,HD080607,J0660
j02-20170411T010541-01_prepro.fz,HD080607,J0660
j02-20170411T010613-01_prepro.fz,HD080607,J0660
j02-20170411T010708-01_prepro.fz,HD080607,iSDSS
j02-20170411T010736-01_prepro.fz,HD080607,iSDSS
j02-20170411T010807-01_prepro.fz,HD080607,iSDSS
j02-20170411T010851-01_prepro.fz,HD080607,J0861
j02-20170411T010921-01_prepro.fz,HD080607,J0861
j02-20170411T010952-01_prepro.fz,HD080607,J0861
j02-20170411T011036-01_prepro.fz,HD080607,zSDSS
j02-20170411T011104-01_prepro.fz,HD080607,zSDSS
j02-20170411T011134-01_prepro.fz,HD080607,zSDSS
j02-20170411T011255-01_prepro.fz,HD170737,uJAVA
j02-20170411T011340-01_prepro.fz,HD170737,J0430
j02-20170411T011427-01_prepro.fz,HD170737,J0861
j02-20170411T011507-01_prepro.fz,HD170737,J0515
j02-20170411T011542-01_prepro.fz,HD170737,J0410
j02-20170411T011623-01_prepro.fz,HD170737,J0378
j02-20170411T011722-01_prepro.fz,HD170737,J0660
j02-20170411T011806-01_prepro.fz,HD170737,J0395
j02-20170411T011934-01_prepro.fz,Feige34,iSDSS
j02-20170411T012021-01_prepro.fz,Feige34,uJAVA
j02-20170411T012103-01_prepro.fz,Feige34,J0430
j02-20170411T012156-01_prepro.fz,Feige34,J0861
j02-20170411T012256-01_prepro.fz,Feige34,J0515
j02-20170411T012340-01_prepro.fz,Feige34,J0410
j02-20170411T012435-01_prepro.fz,Feige34,rSDSS
j02-20170411T012521-01_prepro.fz,Feige34,J0378
j02-20170411T012627-01_prepro.fz,Feige34,J0660
j02-20170411T012739-01_prepro.fz,Feige34,gSDSS
j02-20170411T012824-01_prepro.fz,Feige34,J0395
j02-20170411T012932-01_prepro.fz,Feige34,zSDSS
j02-20170411T014140-01_prepro.fz,HD095735,rSDSS
j02-20170411T014233-01_prepro.fz,HD095735,uJAVA
j02-20170411T014302-01_prepro.fz,HD095735,uJAVA
j02-20170411T014331-01_prepro.fz,HD095735,uJAVA
j02-20170411T014414-01_prepro.fz,HD095735,J0378
j02-20170411T014444-01_prepro.fz,HD095735,J0378
j02-20170411T014513-01_prepro.fz,HD095735,J0378
j02-20170411T014557-01_prepro.fz,HD095735,J0395
j02-20170411T014625-01_prepro.fz,HD095735,J0395
j02-20170411T014655-01_prepro.fz,HD095735,J0395
j02-20170411T014737-01_prepro.fz,HD095735,J0410
j02-20170411T014806-01_prepro.fz,HD095735,J0410
j02-20170411T014835-01_prepro.fz,HD095735,J0410
j02-20170411T014928-01_prepro.fz,HD095735,J0430
j02-20170411T014957-01_prepro.fz,HD095735,J0430
j02-20170411T015026-01_prepro.fz,HD095735,J0430
j02-20170411T015110-01_prepro.fz,HD095735,gSDSS
j02-20170411T015138-01_prepro.fz,HD095735,gSDSS
j02-20170411T015207-01_prepro.fz,HD095735,gSDSS
j02-20170411T015257-01_prepro.fz,HD095735,J0515
j02-20170411T015326-01_prepro.fz,HD095735,J0515
j02-20170411T015355-01_prepro.fz,HD095735,J0515
j02-20170411T015451-01_prepro.fz,HD095735,rSDSS
j02-20170411T015519-01_prepro.fz,HD095735,rSDSS
j02-20170411T015549-01_prepro.fz,HD095735,rSDSS
j02-20170411T015643-01_prepro.fz,HD095735,J0660
j02-20170411T015712-01_prepro.fz,HD095735,J0660
j02-20170411T015742-01_prepro.fz,HD095735,J0660
j02-20170411T015837-01_prepro.fz,HD095735,iSDSS
j02-20170411T015906-01_prepro.fz,HD095735,iSDSS
j02-20170411T015936-01_prepro.fz,HD095735,iSDSS
j02-20170411T020020-01_prepro.fz,HD095735,J0861
j02-20170411T020049-01_prepro.fz,HD095735,J0861
j02-20170411T020119-01_prepro.fz,HD095735,J0861
j02-20170411T020203-01_prepro.fz,HD095735,zSDSS
j02-20170411T020231-01_prepro.fz,HD095735,zSDSS
j02-20170411T020302-01_prepro.fz,HD095735,zSDSS
j02-20170411T020850-01_prepro.fz,HD170737,rSDSS
j02-20170411T020943-01_prepro.fz,HD170737,uJAVA
j02-20170411T021029-01_prepro.fz,HD170737,J0430
j02-20170411T021117-01_prepro.fz,HD170737,J0861
j02-20170411T021156-01_prepro.fz,HD170737,J0515
j02-20170411T021231-01_prepro.fz,HD170737,J0410
j02-20170411T021312-01_prepro.fz,HD170737,J0378
j02-20170411T021411-01_prepro.fz,HD170737,J0660
j02-20170411T021455-01_prepro.fz,HD170737,J0395
j02-20170411T022431-01_prepro.fz,HD095735off,rSDSS
j02-20170411T022524-01_prepro.fz,HD095735off,uJAVA
j02-20170411T022552-01_prepro.fz,HD095735off,uJAVA
j02-20170411T022621-01_prepro.fz,HD095735off,uJAVA
j02-20170411T022705-01_prepro.fz,HD095735off,J0378
j02-20170411T022733-01_prepro.fz,HD095735off,J0378
j02-20170411T022804-01_prepro.fz,HD095735off,J0378
j02-20170411T022847-01_prepro.fz,HD095735off,J0395
j02-20170411T022915-01_prepro.fz,HD095735off,J0395
j02-20170411T022945-01_prepro.fz,HD095735off,J0395
j02-20170411T023027-01_prepro.fz,HD095735off,J0410
j02-20170411T023055-01_prepro.fz,HD095735off,J0410
j02-20170411T023125-01_prepro.fz,HD095735off,J0410
j02-20170411T023218-01_prepro.fz,HD095735off,J0430
j02-20170411T023247-01_prepro.fz,HD095735off,J0430
j02-20170411T023316-01_prepro.fz,HD095735off,J0430
j02-20170411T023400-01_prepro.fz,HD095735off,gSDSS
j02-20170411T023429-01_prepro.fz,HD095735off,gSDSS
j02-20170411T023458-01_prepro.fz,HD095735off,gSDSS
j02-20170411T023547-01_prepro.fz,HD095735off,J0515
j02-20170411T023616-01_prepro.fz,HD095735off,J0515
j02-20170411T023646-01_prepro.fz,HD095735off,J0515
j02-20170411T023741-01_prepro.fz,HD095735off,rSDSS
j02-20170411T023810-01_prepro.fz,HD095735off,rSDSS
j02-20170411T023839-01_prepro.fz,HD095735off,rSDSS
j02-20170411T023934-01_prepro.fz,HD095735off,J0660
j02-20170411T024036-01_prepro.fz,HD095735off,J0660
j02-20170411T024133-01_prepro.fz,HD095735off,iSDSS
j02-20170411T024203-01_prepro.fz,HD095735off,iSDSS
j02-20170411T024233-01_prepro.fz,HD095735off,iSDSS
j02-20170411T024318-01_prepro.fz,HD095735off,J0861
j02-20170411T024348-01_prepro.fz,HD095735off,J0861
j02-20170411T024418-01_prepro.fz,HD095735off,J0861
j02-20170411T024503-01_prepro.fz,HD095735off,zSDSS
j02-20170411T024532-01_prepro.fz,HD095735off,zSDSS
j02-20170411T024603-01_prepro.fz,HD095735off,zSDSS
j02-20170411T024653-01_prepro.fz,Feige34,iSDSS
j02-20170411T024740-01_prepro.fz,Feige34,uJAVA
