Campo,Objeto,Filtro
j02-20170409T000942-01_prepro.fz,Feige34,J0410
j02-20170409T001036-01_prepro.fz,Feige34,rSDSS
j02-20170409T001123-01_prepro.fz,Feige34,J0378
j02-20170409T001229-01_prepro.fz,Feige34,J0660
j02-20170409T001341-01_prepro.fz,Feige34,gSDSS
j02-20170409T001425-01_prepro.fz,Feige34,J0395
j02-20170409T001534-01_prepro.fz,Feige34,zSDSS
j02-20170409T002439-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T002531-01_prepro.fz,USSsG180s24,uJAVA
j02-20170409T002601-01_prepro.fz,USSsG180s24,uJAVA
j02-20170409T002630-01_prepro.fz,USSsG180s24,uJAVA
j02-20170409T002713-01_prepro.fz,USSsG180s24,J0378
j02-20170409T002742-01_prepro.fz,USSsG180s24,J0378
j02-20170409T002812-01_prepro.fz,USSsG180s24,J0378
j02-20170409T002855-01_prepro.fz,USSsG180s24,J0395
j02-20170409T002923-01_prepro.fz,USSsG180s24,J0395
j02-20170409T002953-01_prepro.fz,USSsG180s24,J0395
j02-20170409T003035-01_prepro.fz,USSsG180s24,J0410
j02-20170409T003105-01_prepro.fz,USSsG180s24,J0410
j02-20170409T003134-01_prepro.fz,USSsG180s24,J0410
j02-20170409T003227-01_prepro.fz,USSsG180s24,J0430
j02-20170409T003255-01_prepro.fz,USSsG180s24,J0430
j02-20170409T003324-01_prepro.fz,USSsG180s24,J0430
j02-20170409T003408-01_prepro.fz,USSsG180s24,gSDSS
j02-20170409T003436-01_prepro.fz,USSsG180s24,gSDSS
j02-20170409T003505-01_prepro.fz,USSsG180s24,gSDSS
j02-20170409T003554-01_prepro.fz,USSsG180s24,J0515
j02-20170409T003622-01_prepro.fz,USSsG180s24,J0515
j02-20170409T003651-01_prepro.fz,USSsG180s24,J0515
j02-20170409T003745-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T003814-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T003843-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T003937-01_prepro.fz,USSsG180s24,J0660
j02-20170409T004005-01_prepro.fz,USSsG180s24,J0660
j02-20170409T004034-01_prepro.fz,USSsG180s24,J0660
j02-20170409T004129-01_prepro.fz,USSsG180s24,iSDSS
j02-20170409T004158-01_prepro.fz,USSsG180s24,iSDSS
j02-20170409T004228-01_prepro.fz,USSsG180s24,iSDSS
j02-20170409T004313-01_prepro.fz,USSsG180s24,J0861
j02-20170409T004342-01_prepro.fz,USSsG180s24,J0861
j02-20170409T004413-01_prepro.fz,USSsG180s24,J0861
j02-20170409T004458-01_prepro.fz,USSsG180s24,zSDSS
j02-20170409T004527-01_prepro.fz,USSsG180s24,zSDSS
j02-20170409T004557-01_prepro.fz,USSsG180s24,zSDSS
j02-20170409T004647-01_prepro.fz,G180-24,iSDSS
j02-20170409T004733-01_prepro.fz,G180-24,uJAVA
j02-20170409T004842-01_prepro.fz,G180-24,J0430
j02-20170409T004938-01_prepro.fz,G180-24,J0861
j02-20170409T005020-01_prepro.fz,G180-24,J0515
j02-20170409T005100-01_prepro.fz,G180-24,J0410
j02-20170409T005158-01_prepro.fz,G180-24,rSDSS
j02-20170409T005243-01_prepro.fz,G180-24,J0378
j02-20170409T005420-01_prepro.fz,G180-24,J0660
j02-20170409T005508-01_prepro.fz,G180-24,gSDSS
j02-20170409T005552-01_prepro.fz,G180-24,J0395
j02-20170409T005711-01_prepro.fz,G180-24,zSDSS
j02-20170409T005818-01_prepro.fz,Feige66,J0378
j02-20170409T005856-01_prepro.fz,Feige66,J0395
j02-20170409T005934-01_prepro.fz,Feige66,J0410
j02-20170409T010022-01_prepro.fz,Feige66,J0430
j02-20170409T010103-01_prepro.fz,Feige66,J0515
j02-20170409T010142-01_prepro.fz,Feige66,J0660
j02-20170409T010227-01_prepro.fz,Feige66,J0861
j02-20170409T010324-01_prepro.fz,Feige34,iSDSS
j02-20170409T010411-01_prepro.fz,Feige34,uJAVA
j02-20170409T010453-01_prepro.fz,Feige34,J0430
j02-20170409T010546-01_prepro.fz,Feige34,J0861
j02-20170409T010646-01_prepro.fz,Feige34,J0515
j02-20170409T010729-01_prepro.fz,Feige34,J0410
j02-20170409T010824-01_prepro.fz,Feige34,rSDSS
j02-20170409T010910-01_prepro.fz,Feige34,J0378
j02-20170409T011016-01_prepro.fz,Feige34,J0660
j02-20170409T011128-01_prepro.fz,Feige34,gSDSS
j02-20170409T011213-01_prepro.fz,Feige34,J0395
j02-20170409T011321-01_prepro.fz,Feige34,zSDSS
j02-20170409T023949-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T024042-01_prepro.fz,USSsG180s24,uJAVA
j02-20170409T024111-01_prepro.fz,USSsG180s24,uJAVA
j02-20170409T024143-01_prepro.fz,USSsG180s24,uJAVA
j02-20170409T024226-01_prepro.fz,USSsG180s24,J0378
j02-20170409T024254-01_prepro.fz,USSsG180s24,J0378
j02-20170409T024325-01_prepro.fz,USSsG180s24,J0378
j02-20170409T024408-01_prepro.fz,USSsG180s24,J0395
j02-20170409T024437-01_prepro.fz,USSsG180s24,J0395
j02-20170409T024507-01_prepro.fz,USSsG180s24,J0395
j02-20170409T024550-01_prepro.fz,USSsG180s24,J0410
j02-20170409T024618-01_prepro.fz,USSsG180s24,J0410
j02-20170409T024647-01_prepro.fz,USSsG180s24,J0410
j02-20170409T024740-01_prepro.fz,USSsG180s24,J0430
j02-20170409T024810-01_prepro.fz,USSsG180s24,J0430
j02-20170409T024839-01_prepro.fz,USSsG180s24,J0430
j02-20170409T024922-01_prepro.fz,USSsG180s24,gSDSS
j02-20170409T024952-01_prepro.fz,USSsG180s24,gSDSS
j02-20170409T025022-01_prepro.fz,USSsG180s24,gSDSS
j02-20170409T025111-01_prepro.fz,USSsG180s24,J0515
j02-20170409T025139-01_prepro.fz,USSsG180s24,J0515
j02-20170409T025208-01_prepro.fz,USSsG180s24,J0515
j02-20170409T025302-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T025333-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T025404-01_prepro.fz,USSsG180s24,rSDSS
j02-20170409T025458-01_prepro.fz,USSsG180s24,J0660
j02-20170409T025529-01_prepro.fz,USSsG180s24,J0660
j02-20170409T025559-01_prepro.fz,USSsG180s24,J0660
j02-20170409T025654-01_prepro.fz,USSsG180s24,iSDSS
j02-20170409T025722-01_prepro.fz,USSsG180s24,iSDSS
j02-20170409T025754-01_prepro.fz,USSsG180s24,iSDSS
